category,app_name,x_time_seconds,y_cumulative_requests
Entertainment,Box: The Content Cloud,192.55,8
Entertainment,Box: The Content Cloud,263.82,9
Entertainment,Box: The Content Cloud,268.99,10
Entertainment,Box: The Content Cloud,774.5,11
Entertainment,Box: The Content Cloud,853.64,12
Entertainment,Box: The Content Cloud,858.82,13
Entertainment,Box: The Content Cloud,934.43,14
Entertainment,GameTrack,0.0,1
Entertainment,GameTrack,0.05,2
Entertainment,GameTrack,0.08,3
Entertainment,GameTrack,0.46,4
Entertainment,GameTrack,0.95,5
Entertainment,GameTrack,0.95,6
Entertainment,GameTrack,0.96,7
Entertainment,GameTrack,0.96,8
Entertainment,GameTrack,0.97,9
Entertainment,GameTrack,0.97,10
Entertainment,GameTrack,0.97,11
Entertainment,GameTrack,0.97,12
Entertainment,GameTrack,0.97,13
Entertainment,GameTrack,0.98,14
Entertainment,GameTrack,0.98,15
Entertainment,GameTrack,0.98,16
Entertainment,GameTrack,0.98,17
Entertainment,GameTrack,1.47,18
Entertainment,GameTrack,2.09,19
Entertainment,Kitsune for MyAnimeList,0.0,1
Entertainment,Kitsune for MyAnimeList,0.0,2
Entertainment,Kitsune for MyAnimeList,0.0,3
Entertainment,Kitsune for MyAnimeList,53.8,4
Entertainment,Kitsune for MyAnimeList,53.8,5
Entertainment,Kitsune for MyAnimeList,388.4,6
Entertainment,Kitsune for MyAnimeList,388.4,7
Entertainment,Kitsune for MyAnimeList,388.4,8
Entertainment,Kitsune for MyAnimeList,538.81,9
Entertainment,Kitsune for MyAnimeList,549.97,10
Entertainment,Kitsune for MyAnimeList,549.97,11
Entertainment,Kitsune for MyAnimeList,635.9,12
Entertainment,Kitsune for MyAnimeList,635.9,13
Entertainment,Kitsune for MyAnimeList,635.9,14
Entertainment,PGA TOUR Vision,0.0,1
Entertainment,PGA TOUR Vision,0.43,2
Entertainment,PGA TOUR Vision,0.82,3
Entertainment,PGA TOUR Vision,0.82,4
Entertainment,PGA TOUR Vision,0.87,5
Entertainment,PGA TOUR Vision,0.96,6
Entertainment,PGA TOUR Vision,1.88,7
Entertainment,PGA TOUR Vision,2.04,8
Entertainment,PGA TOUR Vision,2.08,9
Entertainment,PGA TOUR Vision,2.08,10
Entertainment,PGA TOUR Vision,2.08,11
Entertainment,PGA TOUR Vision,2.1,12
Entertainment,PGA TOUR Vision,2.1,13
Entertainment,PGA TOUR Vision,2.39,14
Entertainment,PGA TOUR Vision,2.59,15
Entertainment,PGA TOUR Vision,2.59,16
Entertainment,PGA TOUR Vision,2.59,17
Entertainment,PGA TOUR Vision,2.59,18
Entertainment,PGA TOUR Vision,2.59,19
Entertainment,PGA TOUR Vision,2.59,20
Entertainment,PGA TOUR Vision,2.62,21
Entertainment,PGA TOUR Vision,2.62,22
Entertainment,PGA TOUR Vision,2.62,23
Entertainment,PGA TOUR Vision,2.62,24
Entertainment,PGA TOUR Vision,2.62,25
Entertainment,PGA TOUR Vision,2.92,26
Entertainment,PGA TOUR Vision,2.92,27
Entertainment,PGA TOUR Vision,2.92,28
Entertainment,PGA TOUR Vision,2.92,29
Entertainment,PGA TOUR Vision,2.92,30
Entertainment,PGA TOUR Vision,2.95,31
Entertainment,PGA TOUR Vision,2.95,32
Entertainment,PGA TOUR Vision,2.95,33
Entertainment,PGA TOUR Vision,2.95,34
Entertainment,PGA TOUR Vision,2.95,35
Entertainment,PGA TOUR Vision,2.95,36
Entertainment,PGA TOUR Vision,2.95,37
Entertainment,PGA TOUR Vision,2.95,38
Entertainment,PGA TOUR Vision,2.95,39
Entertainment,PGA TOUR Vision,2.95,40
Entertainment,PGA TOUR Vision,2.95,41
Entertainment,PGA TOUR Vision,2.95,42
Entertainment,PGA TOUR Vision,2.95,43
Entertainment,PGA TOUR Vision,2.95,44
Entertainment,PGA TOUR Vision,2.95,45
Entertainment,PGA TOUR Vision,2.95,46
Entertainment,PGA TOUR Vision,2.95,47
Entertainment,PGA TOUR Vision,2.95,48
Entertainment,PGA TOUR Vision,2.95,49
Entertainment,PGA TOUR Vision,2.95,50
Entertainment,PGA TOUR Vision,2.95,51
Entertainment,PGA TOUR Vision,5.68,52
Entertainment,Spatial Network,0.0,1
Lifestyle,AI Girlfriend: Chat & Connect,0.0,1
Lifestyle,AI Girlfriend: Chat & Connect,0.09,2
Lifestyle,AI Girlfriend: Chat & Connect,0.1,3
Lifestyle,AI Girlfriend: Chat & Connect,0.12,4
Lifestyle,AI Girlfriend: Chat & Connect,0.54,5
Lifestyle,AI Girlfriend: Chat & Connect,0.6,6
Lifestyle,AI Girlfriend: Chat & Connect,31.11,7
Lifestyle,AI Girlfriend: Chat & Connect,59.77,8
Lifestyle,AI Girlfriend: Chat & Connect,92.32,9
Lifestyle,AI Girlfriend: Chat & Connect,142.15,10
Lifestyle,AI Girlfriend: Chat & Connect,142.18,11
Lifestyle,AI Girlfriend: Chat & Connect,142.21,12
Lifestyle,AI Girlfriend: Chat & Connect,172.49,13
Lifestyle,AI Girlfriend: Chat & Connect,201.94,14
Lifestyle,AI Girlfriend: Chat & Connect,264.85,15
Lifestyle,AI Girlfriend: Chat & Connect,264.88,16
Lifestyle,AI Girlfriend: Chat & Connect,264.9,17
Lifestyle,AI Girlfriend: Chat & Connect,295.7,18
Lifestyle,AI Girlfriend: Chat & Connect,324.74,19
Lifestyle,AI Girlfriend: Chat & Connect,355.99,20
Lifestyle,Alo,0.0,1
Lifestyle,Alo,0.99,2
Lifestyle,Alo,0.99,3
Lifestyle,Alo,0.99,4
Lifestyle,Alo,0.99,5
Lifestyle,Alo,0.99,6
Lifestyle,Alo,0.99,7
Lifestyle,Alo,0.99,8
Lifestyle,Alo,0.99,9
Lifestyle,Alo,0.99,10
Lifestyle,Alo,0.99,11
Lifestyle,Alo,0.99,12
Lifestyle,Alo,0.99,13
Lifestyle,Alo,0.99,14
Lifestyle,Alo,0.99,15
Lifestyle,Alo,0.99,16
Lifestyle,Alo,27.17,17
Lifestyle,Alo,27.76,18
Lifestyle,Alo,27.76,19
Lifestyle,Alo,27.76,20
Lifestyle,Alo,27.76,21
Lifestyle,Alo,27.76,22
Lifestyle,Alo,27.76,23
Lifestyle,Alo,27.76,24
Lifestyle,Alo,27.76,25
Lifestyle,Alo,44.99,26
Lifestyle,Alo,45.52,27
Lifestyle,Alo,45.52,28
Lifestyle,Alo,45.52,29
Lifestyle,Alo,45.52,30
Lifestyle,Alo,45.52,31
Lifestyle,Alo,45.52,32
Lifestyle,Alo,45.52,33
Lifestyle,Alo,45.52,34
Lifestyle,Alo,67.54,35
Lifestyle,Alo,68.06,36
Lifestyle,Alo,68.06,37
Lifestyle,Alo,68.06,38
Lifestyle,Alo,68.06,39
Lifestyle,Alo,68.06,40
Lifestyle,Alo,68.06,41
Lifestyle,Alo,68.06,42
Lifestyle,Alo,68.06,43
Lifestyle,Alo,80.12,44
Lifestyle,Alo,80.64,45
Lifestyle,Alo,80.64,46
Lifestyle,Alo,80.64,47
Lifestyle,Alo,80.64,48
Lifestyle,Alo,80.64,49
Lifestyle,Alo,80.65,50
Lifestyle,Alo,80.65,51
Lifestyle,Alo,80.65,52
Lifestyle,Alo,361.76,53
Lifestyle,Alo,362.37,54
Lifestyle,Alo,362.37,55
Lifestyle,Alo,362.37,56
Lifestyle,Alo,362.37,57
Lifestyle,Alo,362.37,58
Lifestyle,Alo,362.37,59
Lifestyle,Alo,362.37,60
Lifestyle,Alo,362.37,61
Lifestyle,Alo,362.37,62
Lifestyle,Alo,362.37,63
Lifestyle,Alo,362.37,64
Lifestyle,Alo,362.37,65
Lifestyle,Alo,362.37,66
Lifestyle,Alo,461.28,67
Lifestyle,Alo,461.52,68
